EAN;Produto;Fabricante;Categoria;NCM;CEST;EAN adicional;Fornecedor;Ativo
7891000400548;COOKIES PARA CÃES DOGCHOW 300G;GENÉRICO;PET;;;;;TRUE
7891000402979;CHOCO BISCUIT NESTLE 80G;GENÉRICO;DOCES;;;;;TRUE
7891000412855;NESCAU 350G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000418871;CAFÉ SOLÚVEL NESCAFÉ 40GR;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891000426210;NESCAU CRESCER 350G;GENÉRICO;MERCEARIA;;;;;TRUE
7891000436837;KIT KAT NESTLE 41,5 GR;GENÉRICO;DOCES;;;;;TRUE
7891000437872;BARRA DE CHOCOLATE GALAK 80GR;GENÉRICO;DOCES;;;;;TRUE
7891000438381;BARRA DE CHOCOLATE GAROTO 80GR;GENÉRICO;DOCES;;;;;TRUE
7891000438442;BARRA DE CHOCOLATE GAROTO BRANCO 80GR;GENÉRICO;DOCES;;;;;TRUE
7891000438480;CAIXA DE BOMBOM NESTLE 250G;GENÉRICO;DOCES;;;;;TRUE
7891000438503;BARRA DE CHOCOLATE NESTLE CLASSIC 80GR;GENÉRICO;DOCES;;;;;TRUE
7891000455562;BARRA DE CHOCOLATE SUFLAIR 80GR;GENÉRICO;DOCES;;;;;TRUE
7891000457467;CAIXA DE BOMBOM NESTLE 220G;GENÉRICO;DOCES;;;;;TRUE
7891000460207;PRESTÍGIO NESTLE 33G;GENÉRICO;DOCES;;;;;TRUE
7891000462300;CHOKITO NESTLE 32G;GENÉRICO;DOCES;;;;;TRUE
7891000623008;SNACKS DOGUITOS SABOR CARNE 45G;GENÉRICO;PET;;;;;TRUE
7891000702505;SORVETE NESTLE CHAMBINHO 45G;GENÉRICO;SORVETES;;;;;TRUE
7891000892473;CAPPUCINO NESTLE CHOCOLATE 180G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891008123975;CHOCOLATE GAROTO AO LEITE 80G;GENÉRICO;BISCOITOS, PÃES E DOCES;;;;;TRUE
7891008125214;BARRA DE CHOCOLATE GAROTO BRANCO 80G;GENÉRICO;DOCES;;;;;TRUE
7891010245085;ABSORVENTE O.B. SEMPRE LIVRE C/16 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891010503024;ABSORVENTE SEMPRE LIVRE COM ABAS C/8UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891010503031;ABSORVENTE SEMPRE LIVRE S/ABAS C/8UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891010504779;CURATIVO BAND AID C/10 UND;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
7891010886547;ABSORVENTE INTERNO O.B. MEDIO LEVE 10UN;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891010973483;ABSORVENTE SEMPRE LIVRE C/8 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891021001885;FILTRO DE CAFÉ MELITTA 102 C/30 UND;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021001946;FILTRO DE CAFÉ MELITTA 103 C/30 UND;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021002103;FILTRO DE CAFÉ BRIGITTA N102 C/30;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
7891021002127;FILTRO DE PAPEL BRIGITTA 103 C/30UND;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021005562;CAFÉ MELITTA GOURMET MOGIANA 250G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021005586;CAFÉ MELITTA GOURMET SUL DE MINAS 250G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021005609;CAFÉ MELITTA GOURMET RB 250G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021006071;CAFÉ MELITTA TRADICIONAL 250G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021006125;CAFÉ MELITTA TRADICIONAL VACUO 500G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021006927;CAFÉ MELITTA EXTRA FORTE 250G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891021006934;CAFÉ MELITTA EXT FORT 500G (UN 1.000);GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891022100372;DETERGENTE LIMPOL CRISTAL 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891022638004;DETERGENTE LIMPOL NEUTRO 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891022852707;SAPÓLIO BOMBRIL 300ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891022854244;DESINFETANTE PINHO SOL 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891022860191;DESINFETANTE BOMBRIL LAVANDA 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891022861112;SAPÓLIO BOMBRIL 450ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891024024386;ESCOVA DENTAL COLGATE C/1 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024033050;ENXAGUANTE BUCAL COLGATE PLAX 250ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024034996;SABONETE PROTEX ANTIBAC 86G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024035047;SABONETE PROTEX LIMPEZA PROFUNDA 85G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024131183;ENXAGUANTE BUCAL COLGATE PLAX 500ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024132005;CREME DENTAL COLGATE T.A. 90G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024132128;CREME DENTAL COLGATE TRIPLA AÇÃO 90G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024134702;CREME DENTAL COLGATE MPA 90G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024136409;ENXAGUANTE BUCAL COLGATE 250ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891024184509;ESCOVA DE DENTE COLGATE CLASSIC C/ 1UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891025115649;YOPRO BEBIDA LÁCTEA UHT 15G DE PROTEÍNAS 250ML;GENÉRICO;DESTILADOS;;;;;TRUE
7891025115656;YOPRO SABOR CHOCOLATE 250ML;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891025122067;YOPRO SABOR MORANGO 250ML;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891025124252;YOPRO CHOCOLATE 250 ML;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891030300191;COCO RALADO MOCOCA 100G;GENÉRICO;MERCEARIA;;;;;TRUE
7891030300504;COMPOSTO LACTEO MOCOCA 400G;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891031405017;MOSTARDA HEMMER 200G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891031409039;KETCHUP HEMMER 320GR;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891031409404;KETCHUP HEMMER 320G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891031412176;MAIONESE HEMMER 500G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891035024177;REPELENTE SBP REFIL 250ML;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
7891035209000;VEJA GOLD MULTIUSO CAMPESTRE 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891035210006;VEJA MULTIUSO ORIGINAL 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891035210334;VEJA MULTI-USO LAVANDA 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891035800214;VEJA GOLD 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891035990861;PRESERVATIVO OLLA PLAY 3UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891048040003;FERMENTO EM PÓ DR OETKER 100G;GENÉRICO;MERCEARIA;;;;;TRUE
7891055324301;ESCOVA DE DENTE CONDOR C/1 UNDS;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891055337318;ESCOVA DE DENTE CONDOR 1 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891055337349;ESCOVA DE DENTE CONDOR C/1 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891055805701;ESCOVA DE DENTE CONDOR 1UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891079000205;MIOJO NISSIN CARNE 85G;GENÉRICO;MERCEARIA;;;;;TRUE
7891079000229;MIOJO NISSIN LÁMEN GALINHA CAIPIRA 85G;GENÉRICO;MERCEARIA;;;;;TRUE
7891079001028;MIOJO NISSIN LAMEN TURMA DA MÔNICA 85G;GENÉRICO;MERCEARIA;;;;;TRUE
7891079013038;CUP NOODLES GALINHA CAIPIRA 68G;GENÉRICO;MERCEARIA;;;;;TRUE
7891079013052;CUP NOODLES CARNE 68G;GENÉRICO;MERCEARIA;;;;;TRUE
7891079013083;CUP NOODLES COSTELA 68G;GENÉRICO;MERCEARIA;;;;;TRUE
7891079013113;CUP NOODLES CHEDDAR 68G;GENÉRICO;MERCEARIA;;;;;TRUE
7891079013120;CUP NOODLES BOLONHESA 68G;GENÉRICO;MERCEARIA;;;;;TRUE
7891080007705;FARINHA DE TRIGO FARINA 1KG;GENÉRICO;MERCEARIA;;;;;TRUE
7891089040277;AZEITE DE OLIVA LA VIOLETERA 500ML;GENÉRICO;MERCEARIA;;;;;TRUE
7891089044244;PASSATA MASTROIANI 680G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891089100575;AZEITONA LA VIOLETERA C/ CAROÇO 120G;GENÉRICO;MERCEARIA;;;;;TRUE
7891089444877;CHAMPIGNON INTEIRO LA VIOLETERA 170G;GENÉRICO;MERCEARIA;;;;;TRUE
7891089447939;AZEITONA LA VIOLETERA 120G;GENÉRICO;MERCEARIA;;;;;TRUE
7891089447946;AZEITONA LA VIOLETERA 150GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891089447953;AZEITONA LA VIOLETERA 120G;GENÉRICO;MERCEARIA;;;;;TRUE
7891089457136;AZEITONA LA VIOLETERA 150G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095006878;KIMILHO FLOÇÃO YOKI 500G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095008452;PIPOCA MICRO ONDAS YOKI MANTEIGA CINEMA 100G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095028337;AVEIA YOKI 400GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891095028351;AVEIA YOKI 400G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095029334;TAPIOCA YOKI 500G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095100125;PIPOCA DE MICROONDAS YOKI NATURAL C/SAL 100G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095100729;PIPOCA MICRO ONDAS YOKI BACON 100GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891095100934;PIPOCA DE MICROONDAS YOKI MANTEIGA 100G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095150137;MOLHO DE PIMENTA KITANO 150G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891095154067;OREGANO KITANO 10G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891095154265;ORÉGANO KITANO 3G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891095154272;CANELA KITANO PO 8G;GENÉRICO;GENERICO;;;;;TRUE
7891095154302;FOLHA DE LOURO KITANO 4G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891095156085;ALECRIM KITANO 6G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891095605118;ALHO GRANULADO KITANO 60G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891095605323;TEMPERO PRONTO KITANO 300G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891095911349;MILHO PARA PIPOCA PREMIUM YOKI 400G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095911356;MILHO PARA PIPOCA YOKI 400G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095911479;PIPOCA DE MICROONDAS YOKI 105G;GENÉRICO;MERCEARIA;;;;;TRUE
7891095911486;FAROFA YOKI TRADICIONAL 400G;GENÉRICO;CHURRASCO;;;;;TRUE
7891095911561;FAROFA YOKI 400G;GENÉRICO;CHURRASCO;;;;;TRUE
7891095911639;FAROFA YOKI 200G;GENÉRICO;MERCEARIA;;;;;TRUE
7891097001062;LEITE PARMALAT ZERO LACTOSE 1L;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891097104336;WHEY PARMALAT MORANGO 250ML;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891097104343;WHEY PARMALAT CHOCOLATE 250ML;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891097106255;LEITE BATAVO ZERO LACTOSE 1L;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891098000040;CHÁ MATTE SAQUINHO 40G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891098000057;CHÁ MATTE SAQUINHO 30G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891098000620;CHÁ MATTE LEÃO ORIGINAL 300ML;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891098000637;CHÁ MATTE LEÃO LIMÃO 300ML;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891098000972;CHÁ MATTE LEÃO SAQUINHO 30G;GENÉRICO;CAFÉ E CHÁ;;;;;TRUE
7891107101621;ÓLEO DE SOJA SOYA 900ML;GENÉRICO;MERCEARIA;;;;;TRUE
7891125160457;VODKA NATASHA 900ML;GENÉRICO;DESTILADOS;;;;;TRUE
7891132008391;MOLHO SHOYU SATIS 150ML;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891132019038;TEMPERO SABOR AMI SEM PIMENTA 300G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891132019274;TEMPERO SAZÓN SABOR FRANGO 60G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891132019281;SAZÓN PARA CARNES 60G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891132165209;TEMPERO SAZON CARNE 40G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891141024870;ESPUMANTE ROSE CONDE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7891141031731;ESPUMANTE MOSCATEL SAINT GERMAIN 660ML;GENÉRICO;VINHOS;;;;;TRUE
7891141036514;VINHO ESPUMANTE MARCUS JAMES 750ML;GENÉRICO;VINHOS;;;;;TRUE
7891141038235;ESPUMANTE MOSCATEL CONDE 750ML;GENÉRICO;VINHOS;;;;;TRUE
7891143013193;REQUEIJÃO TRADICIONAL POLENGHI 200G;GENÉRICO;FRIOS;;;;;TRUE
7891149010509;CERVEJA BRAHMA 350ML;GENÉRICO;CERVEJAS;;;;;TRUE
7891149101528;CERVEJA BRAHMA MALZBIER 350ML;GENÉRICO;CERVEJAS;;;;;TRUE
7891149105564;SKOL BEATS SENSES 269ML;GENÉRICO;DESTILADOS;;;;;TRUE
7891149108718;CERVEJA CORONA 330ML;GENÉRICO;CERVEJAS;;;;;TRUE
7891149108749;CERVEJA CORONITA EXTRA 210ML;GENÉRICO;CERVEJAS;;;;;TRUE
7891149200504;CERVEJA SKOL LATA 350 ML;GENÉRICO;CERVEJAS;;;;;TRUE
7891150001183;SHAMPOO CLEAR MAN ICE COOL 400ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150007406;SHAMPOO CLEAR MAN ICE 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150014107;SHAMPOO CLEAR MAN 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150027794;MOSTARDA HELLMANNS 170G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891150045460;AMACIANTE CONFORT 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891150055070;AMIDO DE MILHO MAIZENA 200GR;GENÉRICO;MERCEARIA;;;;;TRUE
7891150059870;SABONETE LUX BOTANICALS 85G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150059887;SABONETE LUX LAVANDA 85G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150060210;SABONETE LÍQUIDO LUX 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150060227;SABONETE LÍQUIDO LUX LAVANDA 85G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150060968;SHAMPOO CLEAR MAN MENTHOL 400ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150060975;SHAMPOO CLEAR 400ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150064928;LAVA ROUPAS OMO 900ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891150064935;SABÃO LÍQUIDO OMO 900ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891150068834;DESODORANTE REXONA INVISIBLE 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150080546;MAIONESE HELLMANNS SUPREME 330G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891150081253;DESODORANTE REXONA POWDER DRY 250ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150081291;DESODORANTE REXONA INVISIBLE 250ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150081307;DESODORANTE REXONA ACTIVE DRY 250ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150083493;DESODORANTE AXE APOLLO 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150083509;DESODORANTE AXE MASCULINO 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150092716;AMACIANTE CONCENTRADO FOFO 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891150092761;AMACIANTE CONCENTRADO FOFO AZUL 500ML;GENÉRICO;LIMPEZA;;;;;TRUE
7891150095267;SHAMPO CLEAR MAN ICE COOL 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150095571;SHAMPOO DOVE INTENSE 175ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891150099289;SHAMPOO CLEAR MAN HIDRATAÇÃO 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891151035552;CHICLE BUZZY CROC 4.3G;GENÉRICO;BALAS;;;;;TRUE
7891164004637;LINGUIÇA PARA CHURRASCO AURORA 700G;GENÉRICO;CHURRASCO;;;;;TRUE
7891164005412;SALSICHA HOT DOG AURORA 500G;GENÉRICO;FRIOS;;;;;TRUE
7891164007164;PRESUNTO FATIADO AURORA 180G;GENÉRICO;FRIOS;;;;;TRUE
7891164007188;MORTADELA AURORA BOLONHESA 180G;GENÉRICO;FRIOS;;;;;TRUE
7891164026950;SANDUÍCHE AURORA X-BURGUER 145G;GENÉRICO;CONGELADOS;;;;;TRUE
7891164028237;LEITE INTEGRAL AURORA 1L;GENÉRICO;MERCEARIA;;;;;TRUE
7891164111519;STEAK DE FRANGO AURORA 100G;GENÉRICO;CONGELADOS;;;;;TRUE
7891164135263;LINGUIÇA MISTA NOBRE 700G;GENÉRICO;CHURRASCO;;;;;TRUE
7891164163600;FILÉ SASSAMI AURORA 1KG;GENÉRICO;CONGELADOS;;;;;TRUE
7891167011748;ATUM RALADO GOMES DA COSTA 130G;GENÉRICO;ENLATADOS;;;;;TRUE
7891167021013;SARDINHA GOMES DA COSTA COM ÓLEO 125G;GENÉRICO;ENLATADOS;;;;;TRUE
7891167021020;SARDINHA GOMES COSTA MOLHO TOMATE 84G;GENÉRICO;MOLHOS E TEMPEROS;;;;;TRUE
7891167023017;SARDINHA COQUEIRO 75G;GENÉRICO;ENLATADOS;;;;;TRUE
7891167040403;ATUM RALADO EM ÓLEO PESCADOR 140G;GENÉRICO;ENLATADOS;;;;;TRUE
7891167040410;ATUM RALADO 140G;GENÉRICO;MERCEARIA;;;;;TRUE
7891167040434;ATUM SÓLIDO 88 100G;GENÉRICO;MERCEARIA;;;;;TRUE
7891167099678;SARDINHA EM ÓLEO GOMES E COSTA 75G;GENÉRICO;ENLATADOS;;;;;TRUE
7891172421174;PAPEL NEVE TOQUE DE SEDA C/4UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891172422607;PAPEL HIGIÊNICO NEVE SUPREME C/4 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891172523458;PAPEL NEVE TOQUE DA SEDA C/4 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891176117509;SABONETE FRANCIS 85G;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891193010012;BISNAGUINHA SEVEN BOYS 300G;GENÉRICO;MERCEARIA;;;;;TRUE
7891193010081;PÃO SEVEN BOYS 450G;GENÉRICO;MERCEARIA;;;;;TRUE
7891200017324;COLA SUPER BONDER 3,6G;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
7891203060082;BISNACK PANCO CHURRASCO 80G;GENÉRICO;SNACKS;;;;;TRUE
78912892;COCA COLA ZERO 250ML;GENÉRICO;REFRIGERANTES;;;;;TRUE
78912908;COCA COLA 250ML;GENÉRICO;REFRIGERANTES;;;;;TRUE
7891331008178;BARRA DE CEREAL NUTRY BOLO 22G;GENÉRICO;DOCES;;;;;TRUE
7891331008369;BARRA DE CEREAL NUTRY BOLO CHOCOLATE 22G;GENÉRICO;BARRA DE CEREAIS E PROTEÍNA;;;;;TRUE
7891331010485;BARRA DE CEREAL NUTRY AVELÃ 22G;GENÉRICO;DOCES;;;;;TRUE
7891331010522;BARRA DE CEREAL NUTRY MORANGO 22G;GENÉRICO;DOCES;;;;;TRUE
7891331014520;BARRA CEREAIS NUTRY FRUTAS VERMELHAS 22G;GENÉRICO;BISCOITOS, PÃES E DOCES;;;;;TRUE
7891331018306;BARRA DE PROTEINA TRIO COOKIES 33G;GENÉRICO;BARRA DE CEREAIS E PROTEÍNA;;;;;TRUE
7891357035257;QUEIJO MUSSARELA VENEZA 150G;GENÉRICO;IOGURTE E LATICÍNIOS;;;;;TRUE
7891515434311;MORTADELA PERDIGÃO OURO 200G;GENÉRICO;FRIOS;;;;;TRUE
7891515474126;STEAK DE FRANGO PERDIGÃO 100G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515474737;STEAK DE FRANGO SADIA 100G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515475680;LASANHA 4 QUEIJOS SADIA 600G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515475697;LASANHA SADIA PRESUNTO E QUEIJO 600G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515475703;LASANHA SADIA BOLONHESA 600G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515484040;PRESUNTO FATIADO PERDIGÃO 200G;GENÉRICO;FRIOS;;;;;TRUE
7891515485528;MINI CHICKEN PERDIGÃO 275G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515485535;MINI CHICKEN PERDIGÃO QUEIJO 275G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515490218;SALAME FATIADO PERDIGÃO 100G;GENÉRICO;FRIOS;;;;;TRUE
7891515490430;LASANHA PERDIGÃO CALABRESA 600G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515492960;PÃO DE QUEIJO PERDIGÃO 900G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515496234;LASANHA PERDIGÃO FRANGO COM BACON 600G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515496357;LASANHA PERDIGÃO BOLONHESA 600G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515532918;PIZZA BRASILEIRA PERDIGÃO 460G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515532925;PIZZA PERDIGÃO NAPOLITANA 460G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515533014;PIZZA PERDIGÃO CALABRESA 460G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515554224;HAMBURGUER MISTO SADIA 56G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515556334;HOT POCKET MAIONESE GRILL 145G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515556341;HOT POCKET BARBECUE 145G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515594312;LINGUIÇA PARA CHURRASCO SADIA 700G;GENÉRICO;CHURRASCO;;;;;TRUE
7891515594411;LINGUIÇA TOSCANA SADIA 700G;GENÉRICO;CHURRASCO;;;;;TRUE
7891515598259;MORTADELA SADIA 180G;GENÉRICO;FRIOS;;;;;TRUE
7891515605704;MAC & CHEESE CHEDDAR E CALABRESA 300G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515606312;MAC & CHEESE SEARA CHEDDAR E BACON 300G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515606329;MAC & CHEESE CHEDDAR 300G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515620981;LINGUIÇA CALABRESA SADIA 400G;GENÉRICO;FRIOS;;;;;TRUE
7891515621063;PIZZA PERDIGÃO FRANGO COM BACON 460G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515637811;SALAME BORELLA 300G;GENÉRICO;FRIOS;;;;;TRUE
7891515646431;SANDUICHE PERDIGÃO X-BURGUER 145G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515646448;SANDUÍCHE PERDIGÃO CHURRASBURGER 145G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515646455;SANDUICHE PERDIGÃO TOSCANA 145G;GENÉRICO;CONGELADOS;;;;;TRUE
7891515775636;MORTADELA FATIADA PERDIGÃO 200G;GENÉRICO;FRIOS;;;;;TRUE
7891515977511;LINGUIÇA CALABRESA PERDIGÃO 400G;GENÉRICO;FRIOS;;;;;TRUE
7891515989408;HAMBÚRGUER PERDIGÃO 58G;GENÉRICO;CONGELADOS;;;;;TRUE
7891527066319;PÃO DE ALHO COPACOL 400G;GENÉRICO;CHURRASCO;;;;;TRUE
7891527962338;FILÉ SASSAMI COPACOL 800G;GENÉRICO;CONGELADOS;;;;;TRUE
7891528016498;ESCOVA DE DENTE SORRISO C/1 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891528016504;ESCOVA DE DENTE SORRISO C/1 UNDS;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7891910000197;AÇÚCAR REFINADO UNIÃO 1KG;GENÉRICO;MERCEARIA;;;;;TRUE
7891962000725;BOLINHO BAUDUCCO DUPLO CHOCOLATE 40G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891962015620;BOLINHO BAUDUCCO MORANGO 40G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891962031170;BOLINHO BAUDUCCO DUPLO CHOCOLATE 40G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891962031187;BOLINHO BAUDUCCO DUPLO CHOCOLATE 40GR;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891962036984;WAFER BAUDUCCO CHOCOLATE 140G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891962037004;WAFER BAUDUCCO SABOR MORANGO 140G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891962037028;WAFER BAUDUCCO SABOR CHOCOLATE 140G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7891962045160;BISCOITO BAUDUCCO CEREALE CACAU 170G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
