EAN;Produto;Fabricante;Categoria;NCM;CEST;EAN adicional;Fornecedor;Ativo
5601996215475;VINHO DESCOBRE DEMI SEC 750ML;GENÉRICO;VINHOS;;;;;TRUE
5601996554475;VINHO COLINAS DE BACO 750ML;GENÉRICO;VINHOS;;;;;TRUE
5602175009205;VINHO BRANCO ENCOSTAS DA RIBEIRA 750ML;GENÉRICO;VINHOS;;;;;TRUE
5602182932138;VINHO MONTE DO GAIO 750ML;GENÉRICO;VINHOS;;;;;TRUE
5602417106846;VINHO PORTUGUÊS GA 750ML;GENÉRICO;VINHOS;;;;;TRUE
5604424469006;VINHO PORTUGUES MOSAICO 750ML;GENÉRICO;VINHOS;;;;;TRUE
5604424469303;VINHO PORTUGUÊS MOSAICO RESERVADO 750ML;GENÉRICO;VINHOS;;;;;TRUE
609963581009;AÇAÍ 200ML;GENÉRICO;CONGELADOS;;;;;TRUE
611269101713;ENERGETICO RED BULL ZERO 250ML;GENÉRICO;ENERGÉTICOS E ISOTÔNICOS;;;;;TRUE
611269991000;ENERGÉTICO RED BULL 250ML;GENÉRICO;ENERGÉTICOS E ISOTÔNICOS;;;;;TRUE
6920230925031;CABO USB P/ IPHONE;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
6920231018053;CABO USB TIPO C;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
6920231018060;CABO USB IPHONE;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
6920231018084;CABO USB C;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
6920231021091;CABO USB PARA IPHONE;GENÉRICO;DESCARTÁVEIS E UTILIDADES;;;;;TRUE
70847022015;ENERGÉTICO MONSTER 473ML;GENÉRICO;ENERGÉTICOS E ISOTÔNICOS;;;070847022015;;TRUE
7253166761879;MORANGUETE 9GR;GENÉRICO;DOCES;;;;;TRUE
7500435125307;CONDICIONADOR PANTENE BRILHO INTENSO 175ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435125376;CONDICIONADOR PANTENE HIDRATAÇÃO 175ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7500435125383;SHAMPOO PANTENE HIDRATAÇÃO 175ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
